[I 16:50:48.091 NotebookApp] The port 8888 is already in use, trying another port.
[I 16:50:48.091 NotebookApp] The port 8889 is already in use, trying another port.
[I 16:50:48.099 NotebookApp] Serving notebooks from local directory: /home/alexge/Workspace/Distributed-System/Spark/01-ML-theory/02-machine-learning/edx-workspace/03-Clustering
[I 16:50:48.099 NotebookApp] 0 active kernels 
[I 16:50:48.099 NotebookApp] The Jupyter Notebook is running at: http://localhost:8890/?token=2ff6b3c9d79f6dbd4ae5767f68feb2641a9b5555e32350ee
[I 16:50:48.099 NotebookApp] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[C 16:50:48.099 NotebookApp] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8890/?token=2ff6b3c9d79f6dbd4ae5767f68feb2641a9b5555e32350ee
Created new window in existing browser session.
[I 09:48:22.334 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:48:45.435 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:48:53.004 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:49:14.433 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:49:18.214 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:50:18.695 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:50:22.388 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:51:11.542 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:52:22.334 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:52:30.416 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:52:36.876 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:52:39.448 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:54:22.332 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:55:54.997 NotebookApp] Saving file at /03-Clustering.ipynb
[I 09:55:58.822 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 09:56:22.335 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:21.419 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:28.472 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:31.284 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:39.376 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:49.924 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:00:54.628 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:01:13.995 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:01:24.498 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:01:28.642 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:01:52.275 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:02:00.599 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:02:05.366 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:02:13.559 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:02:22.325 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:10.752 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:20.180 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:34.088 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:39.406 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:48.860 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:03:51.744 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:04:22.340 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:04:37.998 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:03.022 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:14.758 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:20.367 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:26.360 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:28.156 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:40.241 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:45.229 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:05:53.240 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:12.390 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:18.362 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:22.336 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:24.907 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:32.327 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:06:38.248 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:07:23.219 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:07:35.896 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:07:51.338 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:07.252 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:15.217 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:23.985 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:34.038 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:43.751 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:50.738 NotebookApp] Saving file at /03-Clustering.ipynb
[I 10:08:59.027 NotebookApp] Kernel restarted: e303d7ad-9ec8-4354-8569-839ec7dad15a
[I 10:10:18.647 NotebookApp] Saving file at /03-Clustering.ipynb
